indicator_id,Date,Hour,geo_id,value
1777,2024-07-23,17,8741,3386.0
1777,2024-07-23,18,8741,3962.3
1777,2024-07-23,19,8741,4756.3
1777,2024-07-23,20,8741,5736.5
1777,2024-07-23,21,8741,6859.0
1777,2024-07-23,22,8741,7965.5
1777,2024-07-23,23,8741,8793.0
1777,2024-07-23,24,8741,9197.8
1777,2024-07-24,1,8741,8865.5
1777,2024-07-24,2,8741,8505.8
1777,2024-07-24,3,8741,7938.8
1777,2024-07-24,4,8741,7211.5
1777,2024-07-24,5,8741,6415.8
1777,2024-07-24,6,8741,5863.0
1777,2024-07-24,7,8741,5376.8
1777,2024-07-24,8,8741,4920.0
1777,2024-07-24,9,8741,4146.8
1777,2024-07-24,10,8741,3411.0
1777,2024-07-24,11,8741,2850.8
1777,2024-07-24,12,8741,2523.5
1777,2024-07-24,13,8741,2334.3
1777,2024-07-24,14,8741,2335.5
1777,2024-07-24,15,8741,2651.5
1777,2024-07-24,16,8741,3129.8
1777,2024-07-24,17,8741,3672.0
1777,2024-07-24,18,8741,4429.0
1777,2024-07-24,19,8741,5383.5
1777,2024-07-24,20,8741,6389.0
1777,2024-07-24,21,8741,7424.3
1777,2024-07-24,22,8741,8550.3
1777,2024-07-24,23,8741,9221.5
1777,2024-07-24,24,8741,9248.0
1777,2024-07-25,1,8741,8997.5
1777,2024-07-25,2,8741,8680.0
1777,2024-07-25,3,8741,8072.0
1777,2024-07-25,4,8741,7323.3
1777,2024-07-25,5,8741,6676.3
1777,2024-07-25,6,8741,6023.0
1777,2024-07-25,7,8741,5316.0
1777,2024-07-25,8,8741,4681.5
1777,2024-07-25,9,8741,3908.0
1777,2024-07-25,10,8741,3302.3
1777,2024-07-25,11,8741,2783.3
1777,2024-07-25,12,8741,2523.5
1777,2024-07-25,13,8741,2470.3
1777,2024-07-25,14,8741,2652.0
1777,2024-07-25,15,8741,3013.5
1777,2024-07-25,16,8741,3480.3
1777,2024-07-25,17,8741,4034.0
1777,2024-07-25,18,8741,4790.8
1777,2024-07-25,19,8741,5679.0
1777,2024-07-25,20,8741,6648.5
1777,2024-07-25,21,8741,7490.8
1777,2024-07-25,22,8741,8097.5
1777,2024-07-25,23,8741,8375.0
1777,2024-07-25,24,8741,8275.3
1777,2024-07-26,1,8741,8410.5
1777,2024-07-26,2,8741,7637.5
1777,2024-07-26,3,8741,6766.8
1777,2024-07-26,4,8741,5978.8
1777,2024-07-26,5,8741,5359.3
1777,2024-07-26,6,8741,4983.0
1777,2024-07-26,7,8741,4735.3
1777,2024-07-26,8,8741,4351.3
1777,2024-07-26,9,8741,3699.5
1777,2024-07-26,10,8741,2976.5
1777,2024-07-26,11,8741,2426.0
1777,2024-07-26,12,8741,2195.3
1777,2024-07-26,13,8741,2289.8
1777,2024-07-26,14,8741,2470.8
1777,2024-07-26,15,8741,2684.0
1777,2024-07-26,16,8741,2899.5
1777,2024-07-26,17,8741,3211.3
1777,2024-07-26,18,8741,3681.8
1777,2024-07-26,19,8741,4312.3
1777,2024-07-26,20,8741,5077.3
1777,2024-07-26,21,8741,5900.3
1777,2024-07-26,22,8741,6583.3
1777,2024-07-26,23,8741,6818.8
1777,2024-07-26,24,8741,6659.8
1777,2024-07-27,1,8741,6083.3
1777,2024-07-27,2,8741,5529.5
1777,2024-07-27,3,8741,4921.3
1777,2024-07-27,4,8741,4287.0
1777,2024-07-27,5,8741,3863.8
1777,2024-07-27,6,8741,3501.5
1777,2024-07-27,7,8741,3181.0
1777,2024-07-27,8,8741,2924.0
1777,2024-07-27,9,8741,2530.0
1777,2024-07-27,10,8741,2200.5
1777,2024-07-27,11,8741,2066.8
1777,2024-07-27,12,8741,2203.3
1777,2024-07-27,13,8741,2548.0
1777,2024-07-27,14,8741,2956.8
1777,2024-07-27,15,8741,3477.5
1777,2024-07-27,16,8741,3981.0
1777,2024-07-27,17,8741,4626.5
1777,2024-07-27,18,8741,5298.5
1777,2024-07-27,19,8741,6100.8
1777,2024-07-27,20,8741,7191.8
1777,2024-07-27,21,8741,8096.5
1777,2024-07-27,22,8741,9019.5
1777,2024-07-27,23,8741,9626.5
1777,2024-07-27,24,8741,9719.0
1777,2024-07-28,1,8741,8642.5
1777,2024-07-28,2,8741,8376.5
1777,2024-07-28,3,8741,7893.5
1777,2024-07-28,4,8741,7402.0
1777,2024-07-28,5,8741,6933.0
1777,2024-07-28,6,8741,6515.8
1777,2024-07-28,7,8741,6241.5
1777,2024-07-28,8,8741,6087.8
1777,2024-07-28,9,8741,5626.0
1777,2024-07-28,10,8741,5064.8
1777,2024-07-28,11,8741,4760.0
1777,2024-07-28,12,8741,4980.8
1777,2024-07-28,13,8741,5455.0
1777,2024-07-28,14,8741,6019.0
1777,2024-07-28,15,8741,6506.3
1777,2024-07-28,16,8741,6763.3
1777,2024-07-28,17,8741,7014.3
1777,2024-07-28,18,8741,7294.5
1777,2024-07-28,19,8741,7704.8
1777,2024-07-28,20,8741,8119.0
1777,2024-07-28,21,8741,8356.8
1777,2024-07-28,22,8741,8501.5
1777,2024-07-28,23,8741,8372.0
1777,2024-07-28,24,8741,7926.0
1777,2024-07-29,1,8741,7243.5
1777,2024-07-29,2,8741,6745.5
1777,2024-07-29,3,8741,6199.5
1777,2024-07-29,4,8741,5671.5
1777,2024-07-29,5,8741,5291.3
1777,2024-07-29,6,8741,4910.3
1777,2024-07-29,7,8741,4503.0
1777,2024-07-29,8,8741,4154.3
1777,2024-07-29,9,8741,3574.5
1777,2024-07-29,10,8741,2975.8
1777,2024-07-29,11,8741,2640.3
1777,2024-07-29,12,8741,2678.0
1777,2024-07-29,13,8741,2990.8
1777,2024-07-29,14,8741,3391.5
1777,2024-07-29,15,8741,3742.5
1777,2024-07-29,16,8741,4170.0
1777,2024-07-29,17,8741,4706.0
1777,2024-07-29,18,8741,4914.0
1777,2024-07-29,19,8741,5050.5
1777,2024-07-29,20,8741,5220.8
1777,2024-07-29,21,8741,5442.0
1777,2024-07-29,22,8741,5569.3
1777,2024-07-29,23,8741,5662.0
1777,2024-07-29,24,8741,5566.5
1777,2024-07-30,1,8741,5753.0
1777,2024-07-30,2,8741,5833.3
1777,2024-07-30,3,8741,5783.0
1777,2024-07-30,4,8741,5523.8
1777,2024-07-30,5,8741,5225.8
1777,2024-07-30,6,8741,4884.8
1777,2024-07-30,7,8741,4574.8
1777,2024-07-30,8,8741,4339.3
1777,2024-07-30,9,8741,4296.3
1777,2024-07-30,10,8741,4086.0
1777,2024-07-30,11,8741,3899.0
1777,2024-07-30,12,8741,3990.8
1777,2024-07-30,13,8741,4273.3
1777,2024-07-30,14,8741,4836.3
1777,2024-07-30,15,8741,5254.5
1777,2024-07-30,16,8741,5780.0
1777,2024-07-30,17,8741,6158.5
1777,2024-07-30,18,8741,6617.8
1777,2024-07-30,19,8741,6768.8
1777,2024-07-30,20,8741,6973.8
